,positive,negative
1905_1,4567,7939
1905_2,2539,3836
1905_3,4447,8164
1905_4,3520,5773
1905_5,3793,6199
1905_6,6100,9468
1905_7,5322,6524
1905_8,7131,12371
1905_9,6868,9300
1905_10,3598,4083
1905_11,2793,3299
1905_12,2888,3242
