,positive,negative
1903_12,2508,4219
1904_1,5088,8983
1904_2,11489,21936
1904_3,9284,17831
1904_4,6670,10499
1904_5,6597,12981
1904_6,4548,8517
1904_7,4021,7873
1904_8,5207,10937
1904_9,5374,11275
1904_10,4104,7620
1904_11,4370,6751
1904_12,3328,5277
