,positive,negative
1903_12,1395,2767
1904_1,3367,6617
1904_2,8317,19532
1904_3,5779,13474
1904_4,3533,6820
1904_5,3328,8653
1904_6,2209,5773
1904_7,2667,6587
1904_8,3303,8638
1904_9,2977,7706
1904_10,2484,5752
1904_11,2074,4273
1904_12,1425,3011
