,positive,negative
1905_1,3069,6840
1905_2,1602,3650
1905_3,3227,7943
1905_4,2177,4477
1905_5,2299,5331
1905_6,5014,9317
1905_7,2773,4592
1905_8,4591,8791
1905_9,3439,4876
1905_10,1087,1493
1905_11,1216,1752
1905_12,964,1614
